,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
3002,house,emaar mgf marbella,sector 66,8.8,41615.0,2115.0,Built Up area: 267 (223.25 sq.m.),4,4,3,3.0,South-East,Relatively New,,267.0,,0,1,1,1,0,0,107
3005,house,Independent,sector 50,10.45,38703.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),4,5,2,3.0,North,Moderately Old,,4000.0,,1,1,0,1,0,2,142
3006,house,vipul tatvam villa,sector 48,19.5,22222.0,8775.0,Plot area 975(815.22 sq.m.),5,6,3,2.0,North,Moderately Old,,8775.0,,1,1,1,1,0,2,110
3007,house,Independent,sector 82,7.5,23148.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,East,Relatively New,,3240.0,,0,1,0,1,0,2,135
3009,house,international city by sobha phase 1,sector 109,5.75,16428.0,3500.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,2,3.0,South-East,Relatively New,,4800.0,3500.0,0,1,0,0,0,0,146
3010,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3,3.0,East,Relatively New,,5400.0,,1,1,1,1,0,0,160
3012,house,Independent,sector 56,11.5,42032.0,2736.0,Plot area 304(254.18 sq.m.),12,13,3,4.0,West,Relatively New,,2736.0,,1,1,0,1,0,2,49
3013,house,vipul tatvam villa,sector 48,7.69,24069.0,3195.0,Plot area 355(296.83 sq.m.),4,5,3,2.0,North-West,Moderately Old,,3195.0,,1,1,1,1,0,2,110
3014,house,Independent,sector 82,7.0,21605.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,1.0,North-East,Relatively New,,3240.0,,1,1,0,1,0,2,49
3020,house,Independent,sector 50,7.0,23333.0,3000.0,Plot area 2400(222.97 sq.m.)Built Up area: 3400 sq.ft. (315.87 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,2,3.0,North-East,Undefined,,3400.0,3000.0,0,1,0,0,0,0,118
3021,house,vipul tatvam villa,sector 48,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3,2.0,North,Moderately Old,,4000.0,,1,1,0,1,1,2,49
3022,house,emaar mgf marbella,sector 66,8.7,38667.0,2250.0,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,3.0,East,Undefined,,267.0,,1,1,0,0,0,0,144
3023,house,international city by sobha phase 2,sector 109,12.5,26667.0,4687.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,0,63
3024,house,international city by sobha phase 2,sector 109,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3,2.0,North-West,Relatively New,,5400.0,,0,1,0,0,0,0,49
3025,house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),7,6,3,3.0,West,Relatively New,,3600.0,,1,1,0,1,0,0,138
3026,house,international city by sobha phase 2,sector 109,7.0,12963.0,5400.0,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,,5400.0,,0,1,0,0,0,0,154
3027,house,international city by sobha phase 2,sector 109,6.2,25514.0,2430.0,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively New,,2430.0,,0,1,0,0,0,0,135
3029,house,international city by sobha phase 1,sector 109,5.9,24280.0,2430.0,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,Relatively New,,2430.0,,0,1,0,0,0,2,111
3030,house,international city by sobha phase 1,sector 109,5.85,26423.0,2214.0,Plot area 246(205.69 sq.m.),4,5,3,2.0,East,Relatively New,,2214.0,,0,1,0,0,0,2,85
3032,house,bptp visionnaire,sector 70a,5.35,8916.0,6000.0,Built Up area: 6000 (557.42 sq.m.),4,4,3,3.0,North,Relatively New,,6000.0,,1,1,1,1,0,2,160
3033,house,Independent,sector 25,6.6,36667.0,1800.0,Plot area 200(167.23 sq.m.),6,7,3,2.0,East,Moderately Old,,1800.0,,1,1,0,0,0,2,119
3034,house,international city by sobha phase 1,sector 109,6.3,9000.0,7000.0,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4,5,3,2.0,West,Relatively New,,7000.0,4500.0,0,0,0,0,0,2,122
3035,house,international city by sobha phase 1,sector 109,12.0,20000.0,6000.0,Plot area 8000(743.22 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3,2.0,North-East,Relatively New,,7000.0,6000.0,1,1,0,0,0,2,154
3043,house,ansal sushant lok plots,sector 43,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,0,1,0,0,1,2,49
3044,house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,5,3,2.0,North,Relatively New,,2430.0,,0,1,0,0,0,2,96
3045,house,Independent,sector 57,6.25,2778.0,22498.0,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9,9,3,3.0,North-East,Undefined,,2660.0,2500.0,0,1,0,0,0,2,61
3046,house,private house,sector 55,7.05,46906.0,1503.0,Plot area 167(139.63 sq.m.),18,18,3,4.0,North-East,Relatively New,,1503.0,,0,0,0,0,1,1,57
