property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,godrej habitat,sector 3,1.1,10410.0,1056.7,Super Built up area 1056.58(98.16 sq.m.),2,2,2,14.0,,Under Construction,1056.58,,,0,0,0,0,0,0,60,528.35
flat,ramsons kshitij,sector 95,0.29,5178.0,560.1,Super Built up area 560(52.03 sq.m.),2,2,2,14.0,,Relatively New,560.0,,,0,0,0,0,0,0,50,280.05
flat,sidhartha ncr one,sector 95,0.55,5556.0,989.9,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,North-East,Undefined,,990.0,950.0,0,0,0,0,0,0,0,494.95
flat,raheja sampada,sector 92,0.65,4744.0,1370.2,Super Built up area 1370(127.28 sq.m.),3,2,3,6.0,North-East,Relatively New,1370.0,,,0,0,0,0,0,0,49,456.73333333333335
flat,signature the serenas,sohna road,0.5,9406.0,531.6,Carpet area: 531.57 (49.38 sq.m.),2,2,2,6.0,,Undefined,,,531.521382,0,0,0,0,0,0,37,265.8
flat,pareena laxmi apartments,sector 99a,0.32,5521.0,579.6,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),2,2,1,2.0,,Undefined,575.0,,570.17,0,0,0,0,0,0,43,289.8
flat,satya the hermitage,sector 103,0.93,6404.0,1452.2,Carpet area: 1452 (134.9 sq.m.),2,3,3,3.0,East,Relatively New,,,1452.0,0,1,0,0,0,2,90,726.1
flat,smart world gems,sector 89,1.2,8432.0,1423.1,Carpet area: 1423 (132.2 sq.m.),3,3,2,2.0,North-East,New Property,,,1423.0,0,0,0,0,0,0,44,474.3666666666666
flat,gls arawali homes,sohna road,0.3,4687.0,640.1,Carpet area: 640 (59.46 sq.m.),2,2,2,4.0,,Relatively New,,,640.0,0,0,0,0,0,0,42,320.05
flat,signature global park,sohna road,0.56,6812.0,822.1,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,South,Undefined,,,822.0,0,0,0,0,0,0,111,411.05
flat,bestech park view city,sector 49,2.7,12505.0,2159.1,Super Built up area 2159(200.58 sq.m.),3,4,3+,6.0,,Moderately Old,2159.0,,,0,0,0,0,0,0,0,719.6999999999999
flat,shree vardhman flora,sector 90,1.0,5128.0,1950.1,Super Built up area 1950(181.16 sq.m.),3,4,3,8.0,North-East,Undefined,1950.0,,,0,1,0,0,0,0,95,650.0333333333333
flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,1300.1,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3,2,2,2.0,North,Undefined,,1300.0,1090.0,0,0,0,0,0,1,75,433.3666666666666
flat,m3m soulitude,sector 89,1.25,8784.0,1423.0,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3,3,0,4.0,,Undefined,,1423.0,1190.0,0,0,0,0,0,0,61,474.3333333333333
flat,emaar mgf palm terraces,sector 66,4.5,10599.0,4245.7,Super Built up area 3670(340.95 sq.m.),5,5,3+,11.0,,Undefined,3670.0,,,0,1,0,0,0,0,105,849.14
flat,hcbs sports ville,sohna road,0.28,3768.0,743.1,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2,2,1,11.0,East,Relatively New,,743.0,643.0,0,0,0,0,0,0,38,371.55
